Barrier Name,N,Seed,Completion Time (s),Negative Iterations,Circle Time (%),Ellipse Time (%),Triangle Time (%),Square Time (%)
circular,4,1,10.659,0,1.0,0.0,0.0,0.0
circular,4,2,17.82,0,1.0,0.0,0.0,0.0
circular,4,3,50.226,0,1.0,0.0,0.0,0.0
circular,4,4,17.325,0,1.0,0.0,0.0,0.0
circular,4,5,41.580000000000005,0,1.0,0.0,0.0,0.0
circular,8,1,17.490000000000002,0,1.0,0.0,0.0,0.0
circular,8,2,23.265,0,1.0,0.0,0.0,0.0
circular,8,3,19.371000000000002,0,1.0,0.0,0.0,0.0
circular,8,4,15.213000000000001,0,1.0,0.0,0.0,0.0
circular,8,5,20.064,0,1.0,0.0,0.0,0.0
circular,11,1,19.602,0,1.0,0.0,0.0,0.0
circular,11,2,19.668,0,1.0,0.0,0.0,0.0
circular,11,3,14.883000000000001,0,1.0,0.0,0.0,0.0
circular,11,4,15.411000000000001,0,1.0,0.0,0.0,0.0
circular,11,5,16.368000000000002,0,1.0,0.0,0.0,0.0
circular,16,1,18.249000000000002,0,1.0,0.0,0.0,0.0
circular,16,2,27.192,0,1.0,0.0,0.0,0.0
circular,16,3,22.539,24,1.0,0.0,0.0,0.0
circular,16,4,21.417,0,1.0,0.0,0.0,0.0
circular,16,5,26.928,101,1.0,0.0,0.0,0.0
circular,20,1,22.968,42,1.0,0.0,0.0,0.0
circular,20,2,85.998,0,1.0,0.0,0.0,0.0
circular,20,3,43.329,0,1.0,0.0,0.0,0.0
circular,20,4,25.740000000000002,73,1.0,0.0,0.0,0.0
circular,20,5,37.257000000000005,0,1.0,0.0,0.0,0.0
elliptical,4,1,10.659,0,0.0,1.0,0.0,0.0
elliptical,4,2,17.589000000000002,0,0.0,1.0,0.0,0.0
elliptical,4,3,38.544000000000004,0,0.0,1.0,0.0,0.0
elliptical,4,4,17.193,0,0.0,1.0,0.0,0.0
elliptical,4,5,36.762,0,0.0,1.0,0.0,0.0
elliptical,8,1,16.797,0,0.0,1.0,0.0,0.0
elliptical,8,2,17.952,0,0.0,1.0,0.0,0.0
elliptical,8,3,19.8,0,0.0,1.0,0.0,0.0
elliptical,8,4,15.081000000000001,0,0.0,1.0,0.0,0.0
elliptical,8,5,20.724,0,0.0,1.0,0.0,0.0
elliptical,11,1,19.503,0,0.0,1.0,0.0,0.0
elliptical,11,2,18.513,0,0.0,1.0,0.0,0.0
elliptical,11,3,15.081000000000001,0,0.0,1.0,0.0,0.0
elliptical,11,4,15.84,0,0.0,1.0,0.0,0.0
elliptical,11,5,16.368000000000002,0,0.0,1.0,0.0,0.0
elliptical,16,1,18.579,0,0.0,1.0,0.0,0.0
elliptical,16,2,30.063000000000002,0,0.0,1.0,0.0,0.0
elliptical,16,3,21.681,71,0.0,1.0,0.0,0.0
elliptical,16,4,21.285,0,0.0,1.0,0.0,0.0
elliptical,16,5,28.842000000000002,0,0.0,1.0,0.0,0.0
elliptical,20,1,0.0,182,0.0,1.0,0.0,0.0
elliptical,20,2,0.0,242,0.0,1.0,0.0,0.0
elliptical,20,3,0.0,220,0.0,1.0,0.0,0.0
